zone,carbonIntensity,datetime,updatedAt,createdAt,emissionFactorType,flowTraced,isEstimated,estimationMethod
IN-WE,669,2026-09-01T19:00:00.000Z,2026-09-03T06:34:56.859Z,2026-09-01T11:20:26.857Z,lifecycle,True,False,
IN-WE,671,2026-09-01T20:00:00.000Z,2026-09-03T06:34:56.527Z,2026-09-01T12:19:56.131Z,lifecycle,True,False,
IN-WE,675,2026-09-01T21:00:00.000Z,2026-09-03T06:34:44.775Z,2026-09-01T12:20:03.040Z,lifecycle,True,False,
IN-WE,679,2026-09-01T22:00:00.000Z,2026-09-03T06:34:52.678Z,2026-09-01T12:20:03.040Z,lifecycle,True,False,
IN-WE,682,2026-09-01T23:00:00.000Z,2026-09-03T06:34:53.784Z,2026-09-01T15:20:10.370Z,lifecycle,True,False,
IN-WE,682,2026-09-02T00:00:00.000Z,2026-09-03T06:34:55.752Z,2026-09-01T16:20:06.178Z,lifecycle,True,False,
IN-WE,669,2026-09-02T01:00:00.000Z,2026-09-03T06:34:51.154Z,2026-09-01T17:20:12.386Z,lifecycle,True,False,
IN-WE,630,2026-09-02T02:00:00.000Z,2026-09-03T06:34:54.632Z,2026-09-01T18:19:59.489Z,lifecycle,True,False,
IN-WE,574,2026-09-02T03:00:00.000Z,2026-09-03T06:34:57.449Z,2026-09-01T18:19:46.141Z,lifecycle,True,False,
IN-WE,532,2026-09-02T04:00:00.000Z,2026-09-03T06:34:49.206Z,2026-09-01T18:19:58.610Z,lifecycle,True,False,
IN-WE,513,2026-09-02T05:00:00.000Z,2026-09-03T06:34:56.527Z,2026-09-01T21:19:53.726Z,lifecycle,True,False,
IN-WE,503,2026-09-02T06:00:00.000Z,2026-09-03T06:34:45.590Z,2026-09-01T22:19:35.404Z,lifecycle,True,False,
IN-WE,494,2026-09-02T07:00:00.000Z,2026-09-03T06:34:45.590Z,2026-09-01T23:20:00.179Z,lifecycle,True,False,
IN-WE,495,2026-09-02T08:00:00.000Z,2026-09-03T06:34:48.767Z,2026-09-02T00:19:57.503Z,lifecycle,True,False,
IN-WE,518,2026-09-02T09:00:00.000Z,2026-09-03T06:34:51.610Z,2026-09-02T00:19:43.132Z,lifecycle,True,False,
IN-WE,544,2026-09-02T10:00:00.000Z,2026-09-03T06:34:52.339Z,2026-09-02T00:19:56.690Z,lifecycle,True,False,
IN-WE,581,2026-09-02T11:00:00.000Z,2026-09-03T06:34:48.292Z,2026-09-02T03:20:30.727Z,lifecycle,True,False,
IN-WE,620,2026-09-02T12:00:00.000Z,2026-09-03T06:34:47.445Z,2026-09-02T04:20:16.196Z,lifecycle,True,False,
IN-WE,642,2026-09-02T13:00:00.000Z,2026-09-03T06:34:53.314Z,2026-09-02T05:20:10.831Z,lifecycle,True,False,
IN-WE,645,2026-09-02T14:00:00.000Z,2026-09-03T06:34:47.874Z,2026-09-02T06:20:01.600Z,lifecycle,True,False,
IN-WE,648,2026-09-02T15:00:00.000Z,2026-09-03T06:34:54.264Z,2026-09-02T06:19:50.072Z,lifecycle,True,False,
IN-WE,655,2026-09-02T16:00:00.000Z,2026-09-03T06:34:55.319Z,2026-09-02T06:19:52.113Z,lifecycle,True,False,
IN-WE,658,2026-09-02T17:00:00.000Z,2026-09-03T06:34:45.590Z,2026-09-02T09:19:51.373Z,lifecycle,True,False,
IN-WE,660,2026-09-02T18:00:00.000Z,2026-09-04T06:19:38.007Z,2026-09-02T10:19:56.717Z,lifecycle,True,False,
IN-WE,665,2026-09-02T19:00:00.000Z,2026-09-04T06:19:35.785Z,2026-09-02T11:19:48.233Z,lifecycle,True,False,
IN-WE,671,2026-09-02T20:00:00.000Z,2026-09-04T06:19:36.348Z,2026-09-02T12:19:36.720Z,lifecycle,True,False,
IN-WE,678,2026-09-02T21:00:00.000Z,2026-09-04T06:19:43.586Z,2026-09-02T12:19:47.742Z,lifecycle,True,False,
IN-WE,684,2026-09-02T22:00:00.000Z,2026-09-04T06:19:43.965Z,2026-09-02T12:19:40.549Z,lifecycle,True,False,
IN-WE,686,2026-09-02T23:00:00.000Z,2026-09-04T06:19:37.546Z,2026-09-02T15:19:47.165Z,lifecycle,True,False,
IN-WE,686,2026-09-03T00:00:00.000Z,2026-09-04T06:19:43.236Z,2026-09-02T16:24:23.566Z,lifecycle,True,False,
IN-WE,674,2026-09-03T01:00:00.000Z,2026-09-04T06:19:46.918Z,2026-09-02T17:19:49.002Z,lifecycle,True,False,
IN-WE,628,2026-09-03T02:00:00.000Z,2026-09-04T06:19:42.053Z,2026-09-02T18:20:22.933Z,lifecycle,True,False,
IN-WE,563,2026-09-03T03:00:00.000Z,2026-09-04T06:19:36.348Z,2026-09-02T18:19:54.190Z,lifecycle,True,False,
IN-WE,523,2026-09-03T04:00:00.000Z,2026-09-04T06:19:34.878Z,2026-09-02T18:20:21.410Z,lifecycle,True,False,
IN-WE,500,2026-09-03T05:00:00.000Z,2026-09-04T06:19:45.180Z,2026-09-02T21:19:53.942Z,lifecycle,True,False,
IN-WE,484,2026-09-03T06:00:00.000Z,2026-09-04T06:19:43.965Z,2026-09-02T22:19:51.348Z,lifecycle,True,False,
IN-WE,474,2026-09-03T07:00:00.000Z,2026-09-04T06:19:41.616Z,2026-09-02T23:20:06.216Z,lifecycle,True,False,
IN-WE,480,2026-09-03T08:00:00.000Z,2026-09-04T06:19:39.293Z,2026-09-03T00:20:05.637Z,lifecycle,True,False,
IN-WE,504,2026-09-03T09:00:00.000Z,2026-09-04T06:19:48.834Z,2026-09-03T00:20:04.702Z,lifecycle,True,False,
IN-WE,529,2026-09-03T10:00:00.000Z,2026-09-04T06:19:48.517Z,2026-09-03T00:20:07.417Z,lifecycle,True,False,
IN-WE,570,2026-09-03T11:00:00.000Z,2026-09-04T06:19:42.369Z,2026-09-03T03:19:44.218Z,lifecycle,True,False,
IN-WE,613,2026-09-03T12:00:00.000Z,2026-09-04T06:19:44.495Z,2026-09-03T04:19:40.332Z,lifecycle,True,False,
IN-WE,642,2026-09-03T13:00:00.000Z,2026-09-04T06:19:45.180Z,2026-09-03T05:19:44.000Z,lifecycle,True,False,
IN-WE,647,2026-09-03T14:00:00.000Z,2026-09-04T06:19:43.965Z,2026-09-03T06:20:33.661Z,lifecycle,True,False,
IN-WE,651,2026-09-03T15:00:00.000Z,2026-09-04T06:19:33.351Z,2026-09-03T06:20:32.791Z,lifecycle,True,False,
IN-WE,656,2026-09-03T16:00:00.000Z,2026-09-04T06:19:46.299Z,2026-09-03T06:19:58.937Z,lifecycle,True,False,
IN-WE,658,2026-09-03T17:00:00.000Z,2026-09-04T06:19:41.616Z,2026-09-03T07:50:01.782Z,lifecycle,True,False,
IN-WE,650,2026-09-03T18:00:00.000Z,2026-09-05T06:35:16.674Z,2026-09-03T07:49:56.760Z,lifecycle,True,False,
IN-WE,646,2026-09-03T19:00:00.000Z,2026-09-05T06:35:14.861Z,2026-09-03T07:49:55.070Z,lifecycle,True,False,
IN-WE,651,2026-09-03T20:00:00.000Z,2026-09-05T06:35:16.674Z,2026-09-03T07:49:56.760Z,lifecycle,True,False,
IN-WE,652,2026-09-03T21:00:00.000Z,2026-09-05T06:35:15.761Z,2026-09-03T07:50:03.285Z,lifecycle,True,False,
IN-WE,654,2026-09-03T22:00:00.000Z,2026-09-05T06:35:20.915Z,2026-09-03T07:49:57.170Z,lifecycle,True,False,
IN-WE,656,2026-09-03T23:00:00.000Z,2026-09-05T06:35:08.029Z,2026-09-03T07:50:07.872Z,lifecycle,True,False,
IN-WE,659,2026-09-04T00:00:00.000Z,2026-09-05T06:35:09.635Z,2026-09-03T07:50:04.041Z,lifecycle,True,False,
IN-WE,661,2026-09-04T01:00:00.000Z,2026-09-05T06:35:20.217Z,2026-09-03T07:50:00.027Z,lifecycle,True,False,
IN-WE,623,2026-09-04T02:00:00.000Z,2026-09-05T06:35:19.273Z,2026-09-03T07:50:07.349Z,lifecycle,True,False,
IN-WE,569,2026-09-04T03:00:00.000Z,2026-09-05T06:35:14.408Z,2026-09-03T18:19:59.178Z,lifecycle,True,False,
IN-WE,521,2026-09-04T04:00:00.000Z,2026-09-05T06:35:16.243Z,2026-09-03T18:19:53.144Z,lifecycle,True,False,
IN-WE,498,2026-09-04T05:00:00.000Z,2026-09-05T06:35:10.764Z,2026-09-03T21:19:33.176Z,lifecycle,True,False,
IN-WE,489,2026-09-04T06:00:00.000Z,2026-09-05T06:35:14.861Z,2026-09-03T22:19:54.833Z,lifecycle,True,False,
IN-WE,487,2026-09-04T07:00:00.000Z,2026-09-05T06:35:14.861Z,2026-09-03T23:19:55.445Z,lifecycle,True,False,
IN-WE,483,2026-09-04T08:00:00.000Z,2026-09-05T06:35:17.120Z,2026-09-04T00:20:13.180Z,lifecycle,True,False,
IN-WE,499,2026-09-04T09:00:00.000Z,2026-09-05T06:35:08.506Z,2026-09-04T00:20:06.833Z,lifecycle,True,False,
IN-WE,521,2026-09-04T10:00:00.000Z,2026-09-05T06:35:09.635Z,2026-09-04T00:20:12.001Z,lifecycle,True,False,
IN-WE,552,2026-09-04T11:00:00.000Z,2026-09-05T06:35:05.383Z,2026-09-04T03:19:40.776Z,lifecycle,True,False,
IN-WE,593,2026-09-04T12:00:00.000Z,2026-09-05T06:35:08.029Z,2026-09-04T04:20:42.094Z,lifecycle,True,False,
IN-WE,622,2026-09-04T13:00:00.000Z,2026-09-05T06:35:20.915Z,2026-09-04T05:20:02.095Z,lifecycle,True,False,
IN-WE,633,2026-09-04T14:00:00.000Z,2026-09-05T06:35:10.764Z,2026-09-04T06:19:42.776Z,lifecycle,True,False,
IN-WE,639,2026-09-04T15:00:00.000Z,2026-09-05T06:35:20.217Z,2026-09-04T06:19:45.554Z,lifecycle,True,False,
IN-WE,647,2026-09-04T16:00:00.000Z,2026-09-05T06:35:17.991Z,2026-09-04T06:19:43.586Z,lifecycle,True,False,
IN-WE,648,2026-09-04T17:00:00.000Z,2026-09-05T06:35:12.239Z,2026-09-04T09:19:57.654Z,lifecycle,True,False,
IN-WE,646,2026-09-04T18:00:00.000Z,2026-09-06T05:20:20.747Z,2026-09-04T10:20:03.397Z,lifecycle,True,False,
IN-WE,642,2026-09-04T19:00:00.000Z,2026-09-06T05:20:23.262Z,2026-09-04T11:19:47.526Z,lifecycle,True,False,
IN-WE,648,2026-09-04T20:00:00.000Z,2026-09-06T05:20:20.199Z,2026-09-04T12:20:11.285Z,lifecycle,True,False,
IN-WE,652,2026-09-04T21:00:00.000Z,2026-09-06T05:20:23.262Z,2026-09-04T12:20:15.445Z,lifecycle,True,False,
IN-WE,654,2026-09-04T22:00:00.000Z,2026-09-06T05:20:26.756Z,2026-09-04T12:20:10.973Z,lifecycle,True,False,
IN-WE,658,2026-09-04T23:00:00.000Z,2026-09-06T05:20:25.053Z,2026-09-04T15:19:52.989Z,lifecycle,True,False,
IN-WE,662,2026-09-05T00:00:00.000Z,2026-09-06T05:19:41.685Z,2026-09-04T16:19:42.643Z,lifecycle,True,False,
IN-WE,657,2026-09-05T01:00:00.000Z,2026-09-06T05:19:47.323Z,2026-09-04T17:20:53.608Z,lifecycle,True,False,
IN-WE,619,2026-09-05T02:00:00.000Z,2026-09-06T05:20:19.405Z,2026-09-04T18:19:56.979Z,lifecycle,True,False,
IN-WE,566,2026-09-05T03:00:00.000Z,2026-09-06T05:19:47.323Z,2026-09-04T18:19:54.972Z,lifecycle,True,False,
IN-WE,520,2026-09-05T04:00:00.000Z,2026-09-06T05:19:42.273Z,2026-09-04T18:19:52.834Z,lifecycle,True,False,
IN-WE,493,2026-09-05T05:00:00.000Z,2026-09-06T05:20:23.714Z,2026-09-04T21:19:38.722Z,lifecycle,True,False,
IN-WE,484,2026-09-05T06:00:00.000Z,2026-09-06T05:19:41.685Z,2026-09-04T22:19:38.993Z,lifecycle,True,False,
IN-WE,478,2026-09-05T07:00:00.000Z,2026-09-06T05:19:43.649Z,2026-09-04T23:19:37.999Z,lifecycle,True,False,
IN-WE,476,2026-09-05T08:00:00.000Z,2026-09-06T05:20:24.209Z,2026-09-05T00:20:20.386Z,lifecycle,True,False,
IN-WE,493,2026-09-05T09:00:00.000Z,2026-09-06T05:20:19.882Z,2026-09-05T00:20:19.750Z,lifecycle,True,False,
IN-WE,520,2026-09-05T10:00:00.000Z,2026-09-06T05:20:19.405Z,2026-09-05T00:20:18.880Z,lifecycle,True,False,
IN-WE,556,2026-09-05T11:00:00.000Z,2026-09-06T05:20:26.474Z,2026-09-05T03:20:28.809Z,lifecycle,True,False,
IN-WE,598,2026-09-05T12:00:00.000Z,2026-09-06T05:19:45.427Z,2026-09-05T04:19:26.121Z,lifecycle,True,False,
IN-WE,621,2026-09-05T13:00:00.000Z,2026-09-06T05:20:23.714Z,2026-09-05T05:20:03.505Z,lifecycle,True,False,
IN-WE,627,2026-09-05T14:00:00.000Z,2026-09-06T05:19:41.685Z,2026-09-05T06:19:58.344Z,lifecycle,True,False,
IN-WE,634,2026-09-05T15:00:00.000Z,2026-09-06T05:20:19.405Z,2026-09-05T06:19:56.903Z,lifecycle,True,False,
IN-WE,641,2026-09-05T16:00:00.000Z,2026-09-06T05:19:46.824Z,2026-09-05T06:19:53.581Z,lifecycle,True,False,
IN-WE,644,2026-09-05T17:00:00.000Z,2026-09-06T05:20:19.405Z,2026-09-05T09:20:00.881Z,lifecycle,True,False,
IN-WE,660,2026-09-05T18:00:00.000Z,2026-09-07T05:34:29.588Z,2026-09-05T10:20:46.698Z,lifecycle,True,False,
IN-WE,665,2026-09-05T19:00:00.000Z,2026-09-07T05:34:35.198Z,2026-09-05T11:20:34.065Z,lifecycle,True,False,
IN-WE,667,2026-09-05T20:00:00.000Z,2026-09-07T05:34:40.757Z,2026-09-05T12:21:04.388Z,lifecycle,True,False,
IN-WE,674,2026-09-05T21:00:00.000Z,2026-09-07T05:34:40.362Z,2026-09-05T12:20:29.826Z,lifecycle,True,False,
IN-WE,687,2026-09-05T22:00:00.000Z,2026-09-07T05:34:33.724Z,2026-09-05T12:21:11.019Z,lifecycle,True,False,
IN-WE,690,2026-09-05T23:00:00.000Z,2026-09-07T05:34:28.788Z,2026-09-05T15:19:58.728Z,lifecycle,True,False,
IN-WE,690,2026-09-06T00:00:00.000Z,2026-09-07T05:34:26.606Z,2026-09-05T16:19:40.176Z,lifecycle,True,False,
IN-WE,674,2026-09-06T01:00:00.000Z,2026-09-07T05:34:26.606Z,2026-09-05T17:21:50.182Z,lifecycle,True,False,
IN-WE,620,2026-09-06T02:00:00.000Z,2026-09-07T05:34:29.159Z,2026-09-05T18:19:52.491Z,lifecycle,True,False,
IN-WE,541,2026-09-06T03:00:00.000Z,2026-09-07T05:34:40.362Z,2026-09-05T18:20:06.260Z,lifecycle,True,False,
IN-WE,491,2026-09-06T04:00:00.000Z,2026-09-07T05:34:34.180Z,2026-09-05T18:20:03.175Z,lifecycle,True,False,
IN-WE,465,2026-09-06T05:00:00.000Z,2026-09-07T05:34:39.585Z,2026-09-05T21:20:32.702Z,lifecycle,True,False,
IN-WE,462,2026-09-06T06:00:00.000Z,2026-09-07T05:34:33.724Z,2026-09-05T22:20:36.425Z,lifecycle,True,False,
IN-WE,460,2026-09-06T07:00:00.000Z,2026-09-07T05:34:26.606Z,2026-09-05T23:20:39.214Z,lifecycle,True,False,
IN-WE,460,2026-09-06T08:00:00.000Z,2026-09-07T05:34:36.703Z,2026-09-06T00:20:10.126Z,lifecycle,True,False,
IN-WE,480,2026-09-06T09:00:00.000Z,2026-09-07T05:34:37.790Z,2026-09-06T00:19:58.364Z,lifecycle,True,False,
IN-WE,511,2026-09-06T10:00:00.000Z,2026-09-07T05:34:34.180Z,2026-09-06T00:19:59.909Z,lifecycle,True,False,
IN-WE,561,2026-09-06T11:00:00.000Z,2026-09-07T05:34:41.787Z,2026-09-06T03:19:49.681Z,lifecycle,True,False,
IN-WE,613,2026-09-06T12:00:00.000Z,2026-09-07T05:34:41.375Z,2026-09-06T04:19:44.206Z,lifecycle,True,False,
IN-WE,648,2026-09-06T13:00:00.000Z,2026-09-07T05:34:41.787Z,2026-09-06T05:19:47.323Z,lifecycle,True,False,
IN-WE,653,2026-09-06T14:00:00.000Z,2026-09-07T05:34:32.813Z,2026-09-06T06:19:54.910Z,lifecycle,True,False,
IN-WE,657,2026-09-06T15:00:00.000Z,2026-09-07T05:34:40.362Z,2026-09-06T06:19:48.070Z,lifecycle,True,False,
IN-WE,659,2026-09-06T16:00:00.000Z,2026-09-07T05:34:32.142Z,2026-09-06T06:19:51.881Z,lifecycle,True,False,
IN-WE,661,2026-09-06T17:00:00.000Z,2026-09-07T05:34:31.818Z,2026-09-06T09:19:57.425Z,lifecycle,True,False,
IN-WE,661,2026-09-06T18:00:00.000Z,2026-09-08T05:04:53.563Z,2026-09-06T10:19:55.958Z,lifecycle,True,False,
IN-WE,663,2026-09-06T19:00:00.000Z,2026-09-08T05:05:01.609Z,2026-09-06T11:19:29.189Z,lifecycle,True,False,
IN-WE,669,2026-09-06T20:00:00.000Z,2026-09-08T05:05:02.156Z,2026-09-06T12:19:36.548Z,lifecycle,True,False,
IN-WE,673,2026-09-06T21:00:00.000Z,2026-09-08T05:04:54.241Z,2026-09-06T12:19:41.855Z,lifecycle,True,False,
IN-WE,678,2026-09-06T22:00:00.000Z,2026-09-08T05:05:01.609Z,2026-09-06T12:19:52.389Z,lifecycle,True,False,
IN-WE,678,2026-09-06T23:00:00.000Z,2026-09-08T05:05:00.047Z,2026-09-06T15:20:13.156Z,lifecycle,True,False,
IN-WE,677,2026-09-07T00:00:00.000Z,2026-09-08T05:05:03.983Z,2026-09-06T16:20:00.242Z,lifecycle,True,False,
IN-WE,666,2026-09-07T01:00:00.000Z,2026-09-08T05:05:03.983Z,2026-09-06T17:20:02.807Z,lifecycle,True,False,
IN-WE,619,2026-09-07T02:00:00.000Z,2026-09-08T05:05:02.967Z,2026-09-06T18:19:51.444Z,lifecycle,True,False,
IN-WE,558,2026-09-07T03:00:00.000Z,2026-09-08T05:04:52.432Z,2026-09-06T18:19:40.051Z,lifecycle,True,False,
IN-WE,517,2026-09-07T04:00:00.000Z,2026-09-08T05:05:01.609Z,2026-09-06T18:19:48.933Z,lifecycle,True,False,
IN-WE,499,2026-09-07T05:00:00.000Z,2026-09-08T05:04:59.656Z,2026-09-06T21:19:50.742Z,lifecycle,True,False,
IN-WE,486,2026-09-07T06:00:00.000Z,2026-09-08T05:04:56.093Z,2026-09-06T22:20:02.453Z,lifecycle,True,False,
IN-WE,486,2026-09-07T07:00:00.000Z,2026-09-08T05:05:00.474Z,2026-09-06T23:19:33.776Z,lifecycle,True,False,
IN-WE,485,2026-09-07T08:00:00.000Z,2026-09-08T05:04:58.726Z,2026-09-07T00:19:35.227Z,lifecycle,True,False,
